case_id,issue_type,expected_fault,ai_root_cause,confidence,human_decision,matches_expected,diagnosis_json
CASE-001,VLAN,PC access port is in the wrong VLAN.,PC access port is in the wrong VLAN.,high,Accepted,True,"{""root_cause"":""PC access port is in the wrong VLAN."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""VLAN"",""evidence"":[""show vlan brief: VLAN 30 missing Fa0/12; Fa0/12 listed in VLAN 1"",""show interfaces fa0/12 switchport: Access Mode VLAN: 1""],""next_command"":[""show vlan brief"",""show interfaces trunk"",""show interfaces switchport""],""fix_steps"":[""Set Fa0/12 to access VLAN 30 and verify with show vlan brief."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-002,VLAN,VLAN 20 is not allowed on the trunk.,VLAN 20 is not allowed on the trunk.,high,Accepted,True,"{""root_cause"":""VLAN 20 is not allowed on the trunk."",""confidence"":""high"",""osi_layer"":""2"",""concept_tag"":""VLAN"",""evidence"":[""show interfaces trunk: Gi0/1 allowed vlans 1,10,30"",""show ip interface brief: Gi0/1.20 up/up 192.168.20.1""],""next_command"":[""show vlan brief"",""show interfaces trunk"",""show interfaces switchport""],""fix_steps"":[""Add VLAN 20 to the trunk allowed list."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-003,Gateway,Client has the wrong default gateway.,Client has the wrong default gateway.,high,Edited,False,"{""root_cause"":""Client has the wrong default gateway."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Gateway"",""evidence"":[""ipconfig: IPv4 192.168.10.25 Mask 255.255.255.0 Gateway 192.168.10.254"",""show ip int brief: Gi0/0.10 192.168.10.1 up/up""],""next_command"":[""ipconfig /all"",""show ip interface brief"",""show running-config | section dhcp""],""fix_steps"":[""Correct the DHCP default-router option or static gateway to 192.168.10.1."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-004,Gateway,Gateway is outside the client subnet.,Gateway is outside the client subnet.,high,Accepted,True,"{""root_cause"":""Gateway is outside the client subnet."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Gateway"",""evidence"":[""ipconfig: IPv4 10.10.5.44 Mask 255.255.255.0 Gateway 10.10.6.1"",""show ip route: C 10.10.5.0/24 is directly connected""],""next_command"":[""ipconfig /all"",""show ip interface brief"",""show running-config | section dhcp""],""fix_steps"":[""Set gateway to 10.10.5.1."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-005,DHCP,DHCP service is disabled or requests are not reaching the server.,DHCP service is disabled or requests are not reaching the server.,high,Accepted,True,"{""root_cause"":""DHCP service is disabled or requests are not reaching the server."",""confidence"":""high"",""osi_layer"":""7"",""concept_tag"":""DHCP"",""evidence"":[""show ip dhcp pool VLAN40: Network 192.168.40.0/24 Default-router 192.168.40.1"",""show ip dhcp binding: none"",""show run interface gi0/0.40: encapsulation dot1q 40 ip address 192.168.40.1 255.255.255.0""],""next_command"":[""show ip dhcp binding"",""show ip dhcp pool"",""show running-config | section dhcp""],""fix_steps"":[""Enable DHCP service and verify relay/trunk path."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-006,DHCP,Missing DHCP relay helper on VLAN 50 gateway.,Missing DHCP relay helper on VLAN 50 gateway.,high,Accepted,True,"{""root_cause"":""Missing DHCP relay helper on VLAN 50 gateway."",""confidence"":""high"",""osi_layer"":""7"",""concept_tag"":""DHCP"",""evidence"":[""show run interface vlan50: ip address 192.168.50.1 255.255.255.0 no ip helper-address"",""show ip dhcp server statistics: 0 messages received""],""next_command"":[""show ip dhcp binding"",""show ip dhcp pool"",""show running-config | section dhcp""],""fix_steps"":[""Add ip helper-address 172.16.0.10 on the VLAN 50 gateway interface."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-007,DHCP,DHCP pool network is wrong.,DHCP pool network is wrong.,high,Rejected,False,"{""root_cause"":""DHCP pool network is wrong."",""confidence"":""high"",""osi_layer"":""7"",""concept_tag"":""DHCP"",""evidence"":[""show ip dhcp binding: 192.168.6.21 assigned"",""show ip dhcp pool: Network 192.168.6.0/24 Default-router 192.168.60.1""],""next_command"":[""show ip dhcp binding"",""show ip dhcp pool"",""show running-config | section dhcp""],""fix_steps"":[""Change the pool network to 192.168.60.0/24."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-008,DNS,Incorrect DNS server assigned to clients.,Incorrect DNS server assigned to clients.,high,Accepted,True,"{""root_cause"":""Incorrect DNS server assigned to clients."",""confidence"":""high"",""osi_layer"":""7"",""concept_tag"":""DNS"",""evidence"":[""ipconfig /all: DNS Servers 192.168.99.99"",""nslookup example.com: DNS request timed out"",""ping 8.8.8.8 succeeds""],""next_command"":[""nslookup example.com"",""show running-config | section dhcp"",""ping <dns-server>""],""fix_steps"":[""Update DHCP DNS option to a reachable DNS server."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-009,DNS,Missing or incorrect DNS A record.,Missing or incorrect DNS A record.,high,Accepted,True,"{""root_cause"":""Missing or incorrect DNS A record."",""confidence"":""high"",""osi_layer"":""7"",""concept_tag"":""DNS"",""evidence"":[""nslookup app.corp.local: Non-existent domain"",""nslookup web.corp.local: 10.1.1.20""],""next_command"":[""nslookup example.com"",""show running-config | section dhcp"",""ping <dns-server>""],""fix_steps"":[""Add or correct the app.corp.local A record."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
CASE-010,Routing,R2 lacks a route to the HQ subnet.,R2 lacks a route to the HQ subnet.,high,Accepted,True,"{""root_cause"":""R2 lacks a route to the HQ subnet."",""confidence"":""high"",""osi_layer"":""3"",""concept_tag"":""Routing"",""evidence"":[""show ip route on R2: no route to 10.0.10.0/24"",""ping 10.0.10.10 source 192.168.20.1 fails""],""next_command"":[""show ip route"",""show cdp neighbors"",""traceroute <destination>""],""fix_steps"":[""Add a static route or dynamic routing entry toward R1."",""Retest the original symptom."",""Record human review decision before closing the case.""],""needs_human_review"":true}"
