case_id,issue_type,severity,osi_layer,concept_tag,symptom,topology_note,show_outputs,expected_fault,expected_fix
CASE-001,VLAN,High,2,VLAN membership,"PC in VLAN 30 gets IP but cannot reach server in same VLAN.","Access switch SW1 connects PC3 on Fa0/12 and server on Fa0/20.","show vlan brief: VLAN 30 missing Fa0/12; Fa0/12 listed in VLAN 1 | show interfaces fa0/12 switchport: Access Mode VLAN: 1","PC access port is in the wrong VLAN.","Set Fa0/12 to access VLAN 30 and verify with show vlan brief."
CASE-002,VLAN,Medium,2,Trunk allowed VLAN,"VLAN 20 users cannot reach the router subinterface; VLAN 10 works.","SW1 trunk Gi0/1 connects to R1 router-on-a-stick.","show interfaces trunk: Gi0/1 allowed vlans 1,10,30 | show ip interface brief: Gi0/1.20 up/up 192.168.20.1","VLAN 20 is not allowed on the trunk.","Add VLAN 20 to the trunk allowed list."
CASE-003,Gateway,High,3,Default gateway,"PC receives 192.168.10.25/24 but cannot reach other networks.","Default gateway should be R1 Gi0/0.10 at 192.168.10.1.","ipconfig: IPv4 192.168.10.25 Mask 255.255.255.0 Gateway 192.168.10.254 | show ip int brief: Gi0/0.10 192.168.10.1 up/up","Client has the wrong default gateway.","Correct the DHCP default-router option or static gateway to 192.168.10.1."
CASE-004,Gateway,Medium,3,Gateway mismatch,"PC can ping local printer but not the internet.","Small office LAN uses 10.10.5.0/24 with gateway 10.10.5.1.","ipconfig: IPv4 10.10.5.44 Mask 255.255.255.0 Gateway 10.10.6.1 | show ip route: C 10.10.5.0/24 is directly connected","Gateway is outside the client subnet.","Set gateway to 10.10.5.1."
CASE-005,DHCP,High,7,DHCP excluded range,"New PCs get APIPA addresses in VLAN 40.","R1 is DHCP server for VLAN 40.","show ip dhcp pool VLAN40: Network 192.168.40.0/24 Default-router 192.168.40.1 | show ip dhcp binding: none | show run interface gi0/0.40: encapsulation dot1q 40 ip address 192.168.40.1 255.255.255.0","DHCP service is disabled or requests are not reaching the server.","Enable DHCP service and verify relay/trunk path."
CASE-006,DHCP,Medium,7,DHCP relay,"Remote VLAN 50 clients do not get addresses from central DHCP server.","DHCP server is 172.16.0.10 behind router HQ.","show run interface vlan50: ip address 192.168.50.1 255.255.255.0 no ip helper-address | show ip dhcp server statistics: 0 messages received","Missing DHCP relay helper on VLAN 50 gateway.","Add ip helper-address 172.16.0.10 on the VLAN 50 gateway interface."
CASE-007,DHCP,Medium,7,DHCP pool network,"VLAN 60 clients receive addresses but cannot ping gateway.","Gateway is 192.168.60.1/24.","show ip dhcp binding: 192.168.6.21 assigned | show ip dhcp pool: Network 192.168.6.0/24 Default-router 192.168.60.1","DHCP pool network is wrong.","Change the pool network to 192.168.60.0/24."
CASE-008,DNS,Medium,7,DNS server,"Users can ping 8.8.8.8 but cannot open example.com.","Branch PCs use DHCP.","ipconfig /all: DNS Servers 192.168.99.99 | nslookup example.com: DNS request timed out | ping 8.8.8.8 succeeds","Incorrect DNS server assigned to clients.","Update DHCP DNS option to a reachable DNS server."
CASE-009,DNS,Low,7,DNS record,"Only app.corp.local fails; other DNS names resolve.","Internal DNS server hosts corp.local zone.","nslookup app.corp.local: Non-existent domain | nslookup web.corp.local: 10.1.1.20","Missing or incorrect DNS A record.","Add or correct the app.corp.local A record."
CASE-010,Routing,High,3,Missing static route,"Branch LAN can reach its router but not HQ server 10.0.10.10.","R2 connects branch 192.168.20.0/24 to HQ through R1.","show ip route on R2: no route to 10.0.10.0/24 | ping 10.0.10.10 source 192.168.20.1 fails","R2 lacks a route to the HQ subnet.","Add a static route or dynamic routing entry toward R1."
CASE-011,Routing,High,3,Wrong next hop,"Branch has a static route to HQ but traffic still fails.","R2 next hop to R1 should be 172.16.12.1.","show ip route: S 10.0.10.0/24 [1/0] via 172.16.21.1 | show cdp neighbors: R1 on 172.16.12.1 link","Static route uses the wrong next hop.","Replace the route with next hop 172.16.12.1."
CASE-012,Routing,Medium,3,OSPF passive interface,"OSPF neighbors form on WAN but LAN route is missing at HQ.","R2 advertises branch LAN through OSPF.","show ip ospf interface brief: Gi0/1 passive | show ip route ospf on R1: no 192.168.20.0/24","OSPF is not advertising the branch LAN.","Correct OSPF network statements/passive settings for the LAN."
CASE-013,ACL,High,4,ACL deny,"VLAN 30 can ping gateway but cannot reach server TCP 80.","ACL applied inbound on router subinterface.","show access-lists: 10 deny tcp 192.168.30.0 0.0.0.255 host 10.0.10.20 eq 80 | show ip interface gi0/0.30: inbound access list is 10","ACL blocks HTTP from VLAN 30.","Modify ACL to permit required HTTP traffic."
CASE-014,ACL,Medium,3,Implicit deny,"Only one permitted subnet can cross router; all others fail unexpectedly.","ACL 101 was added for testing.","show access-lists 101: permit ip 192.168.10.0 0.0.0.255 any | show ip interface gi0/0: outbound access list is 101","ACL is missing needed permit statements, causing implicit deny.","Add explicit permits for required subnets or remove the ACL."
CASE-015,ACL,High,4,ACL direction,"Guest network can access internal server despite deny rule.","ACL was intended to protect 10.0.10.0/24.","show access-lists GUEST-BLOCK: deny ip 192.168.99.0 0.0.0.255 10.0.10.0 0.0.0.255 permit ip any any | show ip interface gi0/1: outbound access list is not set; inbound access list is not set","ACL exists but is not applied to the interface/direction.","Apply the ACL on the guest interface in the correct direction."
CASE-016,NAT,High,3,NAT overload,"Inside users can ping router outside interface but not the internet.","R1 performs NAT overload to ISP.","show ip nat translations: empty | show run: ip nat inside source list 1 interface s0/0/0 overload; access-list 1 permit 192.168.1.0 0.0.0.255 | inside LAN is 192.168.10.0/24","NAT ACL does not match the inside subnet.","Change NAT ACL to permit 192.168.10.0/24."
CASE-017,NAT,Medium,3,NAT interface roles,"NAT configured but translations never appear.","R1 LAN Gi0/0, ISP S0/0/0.","show run int gi0/0: no ip nat inside | show run int s0/0/0: ip nat outside","Inside NAT role missing on LAN interface.","Configure ip nat inside on the LAN interface."
CASE-018,NAT,Medium,3,Static NAT,"External users cannot reach internal web server.","Server 192.168.10.50 should publish as 203.0.113.50.","show ip nat translations: --- 203.0.113.50 192.168.10.5 --- --- | show arp: 192.168.10.50 reachable","Static NAT maps the public IP to the wrong private host.","Correct static NAT mapping to 192.168.10.50."
CASE-019,Wireless,Medium,2,SSID mismatch,"Laptop cannot join corporate Wi-Fi.","WLC WLAN name should be CORP.","client status: SSID CORP-NET not found | wlan summary: WLAN 1 SSID CORP enabled","Client is using the wrong SSID.","Configure the client to join SSID CORP."
CASE-020,Wireless,High,2,WPA key,"Laptop sees SSID but authentication fails.","Pre-shared key was changed during maintenance.","client log: WPA authentication failed | WLC WLAN security: WPA2-PSK enabled","Incorrect wireless pre-shared key on client or WLAN.","Set matching WPA2-PSK on the client and WLAN."
CASE-021,Wireless,Medium,2,VLAN mapping,"Wireless clients connect but get addresses from the wrong subnet.","CORP WLAN should map to VLAN 20.","show wlan summary: CORP interface guest_vlan | ipconfig: 192.168.99.18 gateway 192.168.99.1","WLAN is mapped to the wrong VLAN/interface.","Map CORP WLAN to the VLAN 20 interface."
